frases_generadas,clave,titulo,autor,categoria,tema
✅,ACC,Accelerate,"Nicole Forsgren, Jez Humble, Gene Kim",DevOps y SRE,Métricas y prácticas de equipos de alto rendimiento
✅,APP,Apprenticeship Patterns,Dave Hoover & Adewale Oshineye,Desarrollo Personal,Aprendizaje y mentoría técnica
✅,AUT-UT,The Art of Unit Testing,Roy Osherove,Testing y Calidad,Pruebas unitarias efectivas
✅,AUT,Continuous Delivery,Jez Humble y David Farley,DevOps y SRE,Integración y despliegue continuo
✅,BDD,BDD in Action,John Ferguson Smart,Testing y Calidad,Behavior Driven Development
✅,C97,97 Things Every Cloud Engineer Should Know,Emily Freeman (ed.),Cloud, Data & Arquitectura Moderna,Prácticas de ingeniería en la nube
✅,D97,97 Things Every Data Engineer Should Know,Tobias Macey (ed.),Cloud, Data & Arquitectura Moderna,Ingeniería y cultura de datos
✅,CA,Clean Architecture,Robert C. Martin,Serie Clean,Diseño y separación de responsabilidades
✅,CAG,Clean Agile,Robert C. Martin,Serie Clean,Principios ágiles y prácticas limpias
✅,CC,Clean Code,Robert C. Martin,Serie Clean,Buenas prácticas y estilo de código
✅,CCO,The Clean Coder,Robert C. Martin,Serie Clean,Ética y profesionalismo del programador
✅,CHA,Chaos Engineering,Casey Rosenthal & Nora Jones,Seguridad y Resiliencia,Resiliencia ante fallos en sistemas distribuidos
✅,CSD,The Complete Software Developer’s Career Guide,John Sonmez,Desarrollo Personal,Guía integral de carrera profesional
✅,DDA,Designing Data-Intensive Applications,Martin Kleppmann,Cloud, Data & Arquitectura Moderna,Sistemas distribuidos y procesamiento de datos
✅,DDD,Domain-Driven Design,Eric Evans,Clásicos del Desarrollo,Diseño centrado en el dominio
✅,DEV,The Phoenix Project,Gene Kim, Kevin Behr, George Spafford,DevOps y SRE,Cultura DevOps y flujo de trabajo
✅,DRI,Drive,Daniel H. Pink,Liderazgo y Cultura,Motivación intrínseca y propósito
✅,DSF,Data Science for Business,Foster Provost & Tom Fawcett,Ciencia de Datos e IA,Fundamentos de analítica aplicada
✅,DTL,Dare to Lead,Brené Brown,Liderazgo y Cultura,Valentía, vulnerabilidad y liderazgo humano
✅,EIP,Enterprise Integration Patterns,Gregor Hohpe & Bobby Woolf,Cloud, Data & Arquitectura Moderna,Integración de sistemas empresariales
✅,EPU,An Elegant Puzzle,Will Larson,Liderazgo y Cultura,Gobernanza y estructuras de ingeniería
✅,GOF,Design Patterns,Gamma, Helm, Johnson, Vlissides,Clásicos del Desarrollo,Patrones clásicos de diseño orientado a objetos
✅,GOO,Growing Object-Oriented Software, Guided by Tests,Steve Freeman & Nat Pryce,Testing y Calidad,Desarrollo guiado por pruebas (TDD)
✅,IAC,Infrastructure as Code,Kief Morris,DevOps y SRE,Automatización de infraestructura
✅,K97,97 Things Every Programmer Should Know,Kevlin Henney (ed.),Clásicos del Desarrollo,Sabiduría colectiva de desarrolladores
✅,LEL,Leaders Eat Last,Simon Sinek,Liderazgo y Cultura,Liderazgo basado en confianza y propósito
✅,MCS,Building Microservices,Sam Newman,Cloud, Data & Arquitectura Moderna,Diseño de microservicios
✅,MM,The Mythical Man-Month,Fred Brooks,Clásicos del Desarrollo,Ingeniería de software y gestión
✅,MPT,Microservices Patterns,Chris Richardson,Cloud, Data & Arquitectura Moderna,Patrones y principios de microservicios
✅,MSP,The Manager’s Path,Camille Fournier,Liderazgo y Cultura,Liderazgo técnico
✅,PDS,Python Data Science Handbook,Jake VanderPlas,Ciencia de Datos e IA,Técnicas prácticas en Python
✅,PEA,Patterns of Enterprise Application Architecture,Martin Fowler,Clásicos del Desarrollo,Arquitectura empresarial y patrones
