clave,id,frase,autor,fuente
CC,001,"El código limpio se entiende en minutos, no en reuniones.","Robert C. Martin","Clean Code"
CC,002,"Si necesitas explicar tu función con un párrafo, en realidad necesitas una mejor función.","Robert C. Martin","Clean Code"
CC,003,"Los buenos nombres ahorran más tiempo que cualquier framework nuevo.","Robert C. Martin","Clean Code"
CC,004,"Una función que hace de todo es una función que no sirve a nadie.","Robert C. Martin","Clean Code"
CC,005,"Comentarios en exceso suelen ser excusas para no refactorizar.","Robert C. Martin","Clean Code"
CC,006,"Código limpio es aquel que otra persona puede extender sin insultarte en silencio.","Robert C. Martin","Clean Code"
CC,007,"Cada if de más es una futura duda de mantenimiento.","Robert C. Martin","Clean Code"
CC,008,"El mejor comentario es un buen nombre y una función pequeña.","Robert C. Martin","Clean Code"
CC,009,"Un test claro hoy evita un incidente de madrugada mañana.","Robert C. Martin","Clean Code"
CC,010,"El código sucio funciona, pero te cobra intereses compuestos.","Robert C. Martin","Clean Code"
CC,011,"Si te da pena mostrar tu código en una revisión, ya sabes qué tienes que hacer.","Robert C. Martin","Clean Code"
CC,012,"Código limpio significa menos sorpresas y más confianza.","Robert C. Martin","Clean Code"
CC,013,"La legibilidad no es un lujo; es un requisito de producción.","Robert C. Martin","Clean Code"
CC,014,"Una sola responsabilidad por función, igual que una sola razón para cambiar.","Robert C. Martin","Clean Code"
CC,015,"Los nombres vagos como 'data' o 'manager' son bugs en incubación.","Robert C. Martin","Clean Code"
CC,016,"Si tu función necesita scroll para leerse completa, está gritando por ayuda.","Robert C. Martin","Clean Code"
CC,017,"Cada atajo que tomas hoy se convierte en deuda que otro tendrá que pagar.","Robert C. Martin","Clean Code"
CC,018,"Código limpio: cuando leer es más fácil que preguntar.","Robert C. Martin","Clean Code"
CC,019,"Los tests no son opcionales si pretendes dormir tranquilo.","Robert C. Martin","Clean Code"
CC,020,"Un código limpio hace obvia la intención y aburrido el debugging.","Robert C. Martin","Clean Code"
CC,021,"No documentes el desorden; elimina el desorden.","Robert C. Martin","Clean Code"
CC,022,"Cada función larga es una historia mal contada.","Robert C. Martin","Clean Code"
CC,023,"Los comentarios deben explicar el porqué, nunca justificar el caos.","Robert C. Martin","Clean Code"
CC,024,"Si copiar y pegar fue más fácil que abstraer, acabas de firmar deuda técnica.","Robert C. Martin","Clean Code"
CC,025,"Código fácil de leer, fácil de probar, fácil de cambiar: esa es la meta.","Robert C. Martin","Clean Code"
CC,026,"La limpieza del código refleja el respeto por tu equipo futuro.","Robert C. Martin","Clean Code"
CC,027,"Una buena función dice qué hace sin obligarte a leer cómo lo hace.","Robert C. Martin","Clean Code"
CC,028,"Código limpio es diseño, no decoración tardía.","Robert C. Martin","Clean Code"
CC,029,"Refactorizar un poco todos los días es más barato que reescribirlo todo mañana.","Robert C. Martin","Clean Code"
CC,030,"Si tu código requiere un tutorial para entenderse, falló como código.","Robert C. Martin","Clean Code"
CC,031,"No sacrifiques claridad por ingenio; los trucos envejecen mal.","Robert C. Martin","Clean Code"
CC,032,"El código limpio evita sorpresas: hace exactamente lo que parece.","Robert C. Martin","Clean Code"
CC,033,"Cada dependencia innecesaria es un nudo más en la red de problemas.","Robert C. Martin","Clean Code"
CC,034,"El desorden se acumula más rápido de lo que crees; límpialo mientras lo ves.","Robert C. Martin","Clean Code"
CC,035,"Una buena práctica de hoy es un bug menos en producción.","Robert C. Martin","Clean Code"
CC,036,"Código limpio no es perfecto, es honesto y predecible.","Robert C. Martin","Clean Code"
CC,037,"La intención primero, la implementación después.","Robert C. Martin","Clean Code"
CC,038,"El tamaño de tus funciones revela el tamaño de tus problemas.","Robert C. Martin","Clean Code"
CC,039,"Si el nombre de la función lleva 'y', probablemente hace demasiado.","Robert C. Martin","Clean Code"
CC,040,"Los nombres claros son la forma más barata de documentación.","Robert C. Martin","Clean Code"
CC,041,"Código limpio facilita decir 'sí' a los cambios.","Robert C. Martin","Clean Code"
CC,042,"No seas héroe del teclado; sé jardinero del código.","Robert C. Martin","Clean Code"
CC,043,"Cada condición anidada es una invitación al error.","Robert C. Martin","Clean Code"
CC,044,"Es mejor una solución simple que entiendes que una brillante que temes tocar.","Robert C. Martin","Clean Code"
CC,045,"Código limpio minimiza la fricción cognitiva del lector.","Robert C. Martin","Clean Code"
CC,046,"Si algo es difícil de probar, probablemente está mal diseñado.","Robert C. Martin","Clean Code"
CC,047,"El código limpio siempre parece obvio después de verlo.","Robert C. Martin","Clean Code"
CC,048,"Elimina primero lo innecesario; luego mejora lo esencial.","Robert C. Martin","Clean Code"
CC,049,"Un mal nombre hoy será un malentendido mañana.","Robert C. Martin","Clean Code"
CC,050,"Código limpio: cuando cambiar una línea no da miedo.","Robert C. Martin","Clean Code"
CC,051,"La disciplina diaria de limpiar código vale más que una refactorización heroica anual.","Robert C. Martin","Clean Code"
CC,052,"Tus funciones no necesitan ser listas, necesitan ser claras.","Robert C. Martin","Clean Code"
CC,053,"Cada TODO olvidado es una bomba de tiempo.","Robert C. Martin","Clean Code"
CC,054,"No escondas reglas de negocio en trucos de sintaxis.","Robert C. Martin","Clean Code"
CC,055,"El código limpio guía al lector, no lo reta.","Robert C. Martin","Clean Code"
CC,056,"Si explicar tu solución toma más que leerla, algo está mal.","Robert C. Martin","Clean Code"
CC,057,"Código duplicado hoy, mantenimiento duplicado mañana.","Robert C. Martin","Clean Code"
CC,058,"La claridad es la verdadera optimización prematura que sí vale la pena.","Robert C. Martin","Clean Code"
CC,059,"Funciones pequeñas, efectos claros, sorpresas cero.","Robert C. Martin","Clean Code"
CC,060,"Quien mantiene tu código también forma parte de tus usuarios.","Robert C. Martin","Clean Code"
CC,061,"El código limpio no se esconde detrás de comentarios sarcásticos.","Robert C. Martin","Clean Code"
CC,062,"Haz que los errores sean imposibles de ignorar, no imposibles de encontrar.","Robert C. Martin","Clean Code"
CC,063,"Si necesitas un diagrama para entender una función, divídela.","Robert C. Martin","Clean Code"
CC,064,"Código limpio reduce el número de decisiones que el lector debe tomar.","Robert C. Martin","Clean Code"
CC,065,"La suciedad en el código siempre llega a producción si nadie la limpia.","Robert C. Martin","Clean Code"
CC,066,"No confundas brevedad con claridad: una línea ilegible sigue siendo mala.","Robert C. Martin","Clean Code"
CC,067,"Cada capa innecesaria es una capa extra de confusión.","Robert C. Martin","Clean Code"
CC,068,"Código limpio es aquel donde un bug sorprende a todos.","Robert C. Martin","Clean Code"
CC,069,"Nombrar bien es pensar bien.","Robert C. Martin","Clean Code"
CC,070,"Las funciones con muchos parámetros piden a gritos un objeto.","Robert C. Martin","Clean Code"
CC,071,"Código limpio trata casos normales con elegancia y excepciones con respeto.","Robert C. Martin","Clean Code"
CC,072,"La legibilidad es tu primera línea de defensa contra el caos.","Robert C. Martin","Clean Code"
CC,073,"Si tu código depende de comentarios para no romperse, aún no está terminado.","Robert C. Martin","Clean Code"
CC,074,"Código limpio hace que el 'qué' sea obvio y el 'cómo' secundario.","Robert C. Martin","Clean Code"
CC,075,"Cada truco oscuro que usas hoy será tu propia trampa mañana.","Robert C. Martin","Clean Code"
CC,076,"Refactorizar no es rehacer; es revelar la forma correcta que ya estaba ahí.","Robert C. Martin","Clean Code"
CC,077,"Código limpio deja poco espacio a la interpretación equivocada.","Robert C. Martin","Clean Code"
CC,078,"El mejor momento para limpiar es justo después de hacer que funcione.","Robert C. Martin","Clean Code"
CC,079,"Código legible primero, código rápido después, si es necesario.","Robert C. Martin","Clean Code"
CC,080,"No multipliques estados compartidos; multiplicas problemas.","Robert C. Martin","Clean Code"
CC,081,"Elimina lo que no entiendas, o entiéndelo hasta poder limpiarlo.","Robert C. Martin","Clean Code"
CC,082,"Código limpio está alineado con una sola idea por bloque.","Robert C. Martin","Clean Code"
CC,083,"Cada hack urgente merece una refactorización responsable después.","Robert C. Martin","Clean Code"
CC,084,"Código limpio hace que la revisión de pares sea colaboración, no arqueología.","Robert C. Martin","Clean Code"
CC,085,"Una función sin efectos colaterales inesperados es un acto de cortesía.","Robert C. Martin","Clean Code"
CC,086,"La complejidad accidental es el enemigo principal del código limpio.","Robert C. Martin","Clean Code"
CC,087,"Si tu solución requiere explicación oral, documenta mejor o simplifícala.","Robert C. Martin","Clean Code"
CC,088,"Código limpio usa excepciones para lo excepcional, no para el flujo normal.","Robert C. Martin","Clean Code"
CC,089,"Las pruebas limpias también son parte del código limpio.","Robert C. Martin","Clean Code"
CC,090,"No escondas comportamiento crítico dentro de utilerías genéricas.","Robert C. Martin","Clean Code"
CC,091,"Código limpio minimiza la necesidad de héroes que 'conocen el sistema'.","Robert C. Martin","Clean Code"
CC,092,"Si tu código depende del azar para funcionar, no es código limpio.","Robert C. Martin","Clean Code"
CC,093,"El orden consistente en tu código reduce el ruido mental.","Robert C. Martin","Clean Code"
CC,094,"Código limpio acorta la distancia entre la intención del usuario y la intención del programador.","Robert C. Martin","Clean Code"
CC,095,"Un buen nombre y un buen test valen más que una reunión de aclaraciones.","Robert C. Martin","Clean Code"
CC,096,"Código limpio evita sorpresas al leer, no al ejecutar.","Robert C. Martin","Clean Code"
CC,097,"Cada responsabilidad bien aislada hace tu sistema más explicable.","Robert C. Martin","Clean Code"
CC,098,"Código limpio no depende de la memoria del autor, sino de su claridad.","Robert C. Martin","Clean Code"
CC,099,"Si algo es importante, que el código lo haga evidente, no implícito.","Robert C. Martin","Clean Code"
